video,category,pose_sequence,subset
pose_data/train/lat pulldown/35480102-1704-4abc-8fcf-4a06d0f4019d.npy,lat pulldown,35480102-1704-4abc-8fcf-4a06d0f4019d.npy,train
pose_data/train/lat pulldown/4f6fe9c4-7b3d-481f-834f-d8b3ef5bf7bd.npy,lat pulldown,4f6fe9c4-7b3d-481f-834f-d8b3ef5bf7bd.npy,train
pose_data/train/lat pulldown/33b380dd-4dd8-4667-9b56-2e8a08448806.npy,lat pulldown,33b380dd-4dd8-4667-9b56-2e8a08448806.npy,train
pose_data/train/lat pulldown/1c6a9d75-2f6b-41ba-809e-1fdae0daf08f.npy,lat pulldown,1c6a9d75-2f6b-41ba-809e-1fdae0daf08f.npy,train
pose_data/train/lat pulldown/f676fff7-69e9-4b3d-9127-0664c15afb91.npy,lat pulldown,f676fff7-69e9-4b3d-9127-0664c15afb91.npy,train
pose_data/train/lat pulldown/dea7bdc9-2048-434c-b192-29576e4a57ad.npy,lat pulldown,dea7bdc9-2048-434c-b192-29576e4a57ad.npy,train
pose_data/train/lat pulldown/3c4052b8-a641-400e-bf6e-19f80b35725d.npy,lat pulldown,3c4052b8-a641-400e-bf6e-19f80b35725d.npy,train
pose_data/train/lat pulldown/4d31fc83-c087-44a4-abe1-02338145515a.npy,lat pulldown,4d31fc83-c087-44a4-abe1-02338145515a.npy,train
pose_data/train/lat pulldown/099787fc-f4d1-4e60-a421-762323db20b4.npy,lat pulldown,099787fc-f4d1-4e60-a421-762323db20b4.npy,train
pose_data/train/lat pulldown/2a2f46f4-5466-43bb-bfc1-fcdf1013ed31.npy,lat pulldown,2a2f46f4-5466-43bb-bfc1-fcdf1013ed31.npy,train
pose_data/train/lat pulldown/64ed2a55-dd80-42ec-9434-2012476dfc78.npy,lat pulldown,64ed2a55-dd80-42ec-9434-2012476dfc78.npy,train
pose_data/train/lat pulldown/3b7c3557-b2d5-40fb-899d-cb06006c1892.npy,lat pulldown,3b7c3557-b2d5-40fb-899d-cb06006c1892.npy,train
pose_data/train/lat pulldown/e0a6f1da-fca6-449e-8d26-5c8ffd3fc4fd.npy,lat pulldown,e0a6f1da-fca6-449e-8d26-5c8ffd3fc4fd.npy,train
pose_data/train/lat pulldown/bbdad79d-a2a9-4833-851b-ea78e5dbc6d9.npy,lat pulldown,bbdad79d-a2a9-4833-851b-ea78e5dbc6d9.npy,train
pose_data/train/lat pulldown/031ea99d-e6e0-46d2-ad1f-e12de8ed568d.npy,lat pulldown,031ea99d-e6e0-46d2-ad1f-e12de8ed568d.npy,train
pose_data/train/lat pulldown/0b9d0bcb-a69f-4b0f-a1d2-73116a4498da.npy,lat pulldown,0b9d0bcb-a69f-4b0f-a1d2-73116a4498da.npy,train
pose_data/train/lat pulldown/9333f933-3976-4759-a11a-bd01d13d46c3.npy,lat pulldown,9333f933-3976-4759-a11a-bd01d13d46c3.npy,train
pose_data/train/lat pulldown/86def464-941d-4413-ad6b-1893ef188db9.npy,lat pulldown,86def464-941d-4413-ad6b-1893ef188db9.npy,train
pose_data/train/lat pulldown/4c82bbe0-0d64-48ab-9c92-e89351d5e848.npy,lat pulldown,4c82bbe0-0d64-48ab-9c92-e89351d5e848.npy,train
pose_data/train/lat pulldown/1f37b1d3-ed04-42c0-821a-e05aefede650.npy,lat pulldown,1f37b1d3-ed04-42c0-821a-e05aefede650.npy,train
pose_data/train/lat pulldown/e4c6b53b-25f2-40a8-844e-eef90e213e7d.npy,lat pulldown,e4c6b53b-25f2-40a8-844e-eef90e213e7d.npy,train
pose_data/train/lat pulldown/41c7f9c0-ef3e-4204-a475-eb272abe726a.npy,lat pulldown,41c7f9c0-ef3e-4204-a475-eb272abe726a.npy,train
pose_data/train/lat pulldown/9464b993-0c46-4c9b-99fd-a699fc1da899.npy,lat pulldown,9464b993-0c46-4c9b-99fd-a699fc1da899.npy,train
pose_data/train/lat pulldown/b7012496-9d7e-4aeb-8770-038449e96a20.npy,lat pulldown,b7012496-9d7e-4aeb-8770-038449e96a20.npy,train
pose_data/train/lat pulldown/4359bb50-58f5-48cf-8ed3-28b1566a2429.npy,lat pulldown,4359bb50-58f5-48cf-8ed3-28b1566a2429.npy,train
pose_data/train/lat pulldown/e91d7b5c-12e4-4963-9133-d25858acd7fb.npy,lat pulldown,e91d7b5c-12e4-4963-9133-d25858acd7fb.npy,train
pose_data/train/lat pulldown/cacfe35f-ed39-4bc0-b8cb-fbb76a309d90.npy,lat pulldown,cacfe35f-ed39-4bc0-b8cb-fbb76a309d90.npy,train
pose_data/train/lat pulldown/482a2e05-24a0-4ff1-9bbd-d72134ed6e38.npy,lat pulldown,482a2e05-24a0-4ff1-9bbd-d72134ed6e38.npy,train
pose_data/train/lat pulldown/1ef62f69-9313-4cbf-b829-ff8d24947a46.npy,lat pulldown,1ef62f69-9313-4cbf-b829-ff8d24947a46.npy,train
pose_data/train/lat pulldown/3da7cec7-8894-44a8-a3cc-356b637b50c7.npy,lat pulldown,3da7cec7-8894-44a8-a3cc-356b637b50c7.npy,train
pose_data/train/lat pulldown/e7f6d402-aef3-4c74-ab59-d964d6c01f91.npy,lat pulldown,e7f6d402-aef3-4c74-ab59-d964d6c01f91.npy,train
pose_data/train/lat pulldown/7ef89d73-70aa-4cd9-a2e7-aedc5f8dcd74.npy,lat pulldown,7ef89d73-70aa-4cd9-a2e7-aedc5f8dcd74.npy,train
pose_data/train/lat pulldown/cdc87b01-fb5c-46e9-a7e0-66f46f28e6ec.npy,lat pulldown,cdc87b01-fb5c-46e9-a7e0-66f46f28e6ec.npy,train
pose_data/train/lat pulldown/e1776449-5a23-4274-b555-9615f1a4d680.npy,lat pulldown,e1776449-5a23-4274-b555-9615f1a4d680.npy,train
pose_data/train/lat pulldown/4f14f958-4f11-4d0c-943c-c5ce1d1d290a.npy,lat pulldown,4f14f958-4f11-4d0c-943c-c5ce1d1d290a.npy,train
pose_data/train/lat pulldown/9c4fe65c-fd22-4572-aae0-f043250d7785.npy,lat pulldown,9c4fe65c-fd22-4572-aae0-f043250d7785.npy,train
pose_data/train/lat pulldown/20b6f59e-b16a-4561-8601-e760143e6c86.npy,lat pulldown,20b6f59e-b16a-4561-8601-e760143e6c86.npy,train
pose_data/train/lat pulldown/e1377afd-1560-4044-aaaf-c35441081f17.npy,lat pulldown,e1377afd-1560-4044-aaaf-c35441081f17.npy,train
pose_data/train/lat pulldown/eb443c76-198f-4d29-8ed4-fba92aa565b0.npy,lat pulldown,eb443c76-198f-4d29-8ed4-fba92aa565b0.npy,train
pose_data/train/lat pulldown/da4dfaf9-6e03-4ec3-9972-32b3b8bd8894.npy,lat pulldown,da4dfaf9-6e03-4ec3-9972-32b3b8bd8894.npy,train
pose_data/train/lat pulldown/a5f2628a-43b2-45fb-b6df-83511af0bf74.npy,lat pulldown,a5f2628a-43b2-45fb-b6df-83511af0bf74.npy,train
pose_data/train/lat pulldown/3be37372-0acb-45e4-ab44-678aa95b2f5a.npy,lat pulldown,3be37372-0acb-45e4-ab44-678aa95b2f5a.npy,train
pose_data/train/lat pulldown/de134e73-ee06-4077-8a3e-921d686df5ed.npy,lat pulldown,de134e73-ee06-4077-8a3e-921d686df5ed.npy,train
pose_data/train/lat pulldown/563e590c-614b-4b40-99f5-3f6f8fa3571a.npy,lat pulldown,563e590c-614b-4b40-99f5-3f6f8fa3571a.npy,train
pose_data/train/lat pulldown/fc1acef8-a2ee-4561-bfb4-45f435d8c1df.npy,lat pulldown,fc1acef8-a2ee-4561-bfb4-45f435d8c1df.npy,train
pose_data/train/lat pulldown/c9a7a309-953e-421c-a04c-425af42e7185.npy,lat pulldown,c9a7a309-953e-421c-a04c-425af42e7185.npy,train
pose_data/train/lat pulldown/1b55919d-3b18-4cf3-8571-c3e47c42788f.npy,lat pulldown,1b55919d-3b18-4cf3-8571-c3e47c42788f.npy,train
pose_data/train/lat pulldown/259d1208-a13e-4a15-8690-9d9f9fba2b66.npy,lat pulldown,259d1208-a13e-4a15-8690-9d9f9fba2b66.npy,train
pose_data/train/lat pulldown/a7a94aab-0ca7-42d7-b2f8-8297bd2e2848.npy,lat pulldown,a7a94aab-0ca7-42d7-b2f8-8297bd2e2848.npy,train
pose_data/train/lat pulldown/0633a574-7c34-4cb8-9b9d-013b00a45407.npy,lat pulldown,0633a574-7c34-4cb8-9b9d-013b00a45407.npy,train
pose_data/train/lat pulldown/87092e53-baca-4455-ad0a-abc65f66cf09.npy,lat pulldown,87092e53-baca-4455-ad0a-abc65f66cf09.npy,train
pose_data/train/lat pulldown/910474d3-9306-4b55-a48c-3a362eb2e8ad.npy,lat pulldown,910474d3-9306-4b55-a48c-3a362eb2e8ad.npy,train
pose_data/train/barbell biceps curl/9187c88a-47d8-4a6a-a616-09faa3fb4f5e.npy,barbell biceps curl,9187c88a-47d8-4a6a-a616-09faa3fb4f5e.npy,train
pose_data/train/barbell biceps curl/f0c459f8-219e-4e58-8ea3-84556657f964.npy,barbell biceps curl,f0c459f8-219e-4e58-8ea3-84556657f964.npy,train
pose_data/train/barbell biceps curl/bd60b326-7ebe-4e06-ab71-918d5b0f1c23.npy,barbell biceps curl,bd60b326-7ebe-4e06-ab71-918d5b0f1c23.npy,train
pose_data/train/barbell biceps curl/db9be245-1903-4c86-b9e8-092dfd46e836.npy,barbell biceps curl,db9be245-1903-4c86-b9e8-092dfd46e836.npy,train
pose_data/train/barbell biceps curl/62740200-6feb-41af-8547-6a1bf8e13376.npy,barbell biceps curl,62740200-6feb-41af-8547-6a1bf8e13376.npy,train
pose_data/train/barbell biceps curl/fefc8c6d-2552-46fe-a603-01fa9d7067d3.npy,barbell biceps curl,fefc8c6d-2552-46fe-a603-01fa9d7067d3.npy,train
pose_data/train/barbell biceps curl/c9af6ba8-d7bc-4a0b-9049-31c38ceeec45.npy,barbell biceps curl,c9af6ba8-d7bc-4a0b-9049-31c38ceeec45.npy,train
pose_data/train/barbell biceps curl/4764176a-bdcd-4a30-991b-20c9b0d356fc.npy,barbell biceps curl,4764176a-bdcd-4a30-991b-20c9b0d356fc.npy,train
pose_data/train/barbell biceps curl/059bbe7c-f364-46ec-a4e3-d952f9b722dc.npy,barbell biceps curl,059bbe7c-f364-46ec-a4e3-d952f9b722dc.npy,train
pose_data/train/barbell biceps curl/dbc6d790-ce92-490a-b6d2-fcd5091f4e49.npy,barbell biceps curl,dbc6d790-ce92-490a-b6d2-fcd5091f4e49.npy,train
pose_data/train/barbell biceps curl/24cc0b40-8a1f-41da-94b9-06c0116c843c.npy,barbell biceps curl,24cc0b40-8a1f-41da-94b9-06c0116c843c.npy,train
pose_data/train/barbell biceps curl/a9888f74-50d9-4144-b5c8-905cf284e98f.npy,barbell biceps curl,a9888f74-50d9-4144-b5c8-905cf284e98f.npy,train
pose_data/train/barbell biceps curl/2fdeb4c9-9368-49e3-b2b1-7b70673a1b47.npy,barbell biceps curl,2fdeb4c9-9368-49e3-b2b1-7b70673a1b47.npy,train
pose_data/train/barbell biceps curl/7119e9b2-b6e2-44a4-a865-5f2649d7a46c.npy,barbell biceps curl,7119e9b2-b6e2-44a4-a865-5f2649d7a46c.npy,train
pose_data/train/barbell biceps curl/9990fbbd-321d-46fe-9ff9-869fad15579d.npy,barbell biceps curl,9990fbbd-321d-46fe-9ff9-869fad15579d.npy,train
pose_data/train/barbell biceps curl/1aedc023-1054-4518-bf76-6f87c12e9ca5.npy,barbell biceps curl,1aedc023-1054-4518-bf76-6f87c12e9ca5.npy,train
pose_data/train/barbell biceps curl/ed9197fd-a379-4ab0-851f-58cc16018309.npy,barbell biceps curl,ed9197fd-a379-4ab0-851f-58cc16018309.npy,train
pose_data/train/barbell biceps curl/28f48f95-a776-44e5-bd33-9bda6f48d915.npy,barbell biceps curl,28f48f95-a776-44e5-bd33-9bda6f48d915.npy,train
pose_data/train/barbell biceps curl/53de2862-24ad-4bb6-91e1-e997eedba2bf.npy,barbell biceps curl,53de2862-24ad-4bb6-91e1-e997eedba2bf.npy,train
pose_data/train/barbell biceps curl/b1d7ec37-accc-4268-95fb-0a362f45d820.npy,barbell biceps curl,b1d7ec37-accc-4268-95fb-0a362f45d820.npy,train
pose_data/train/barbell biceps curl/1ce75098-14ff-42fb-8c8a-d567c49aa309.npy,barbell biceps curl,1ce75098-14ff-42fb-8c8a-d567c49aa309.npy,train
pose_data/train/barbell biceps curl/7156beaf-7c2d-4ecc-84f5-b0a510675927.npy,barbell biceps curl,7156beaf-7c2d-4ecc-84f5-b0a510675927.npy,train
pose_data/train/barbell biceps curl/541a0682-1374-4491-8c92-d597357973f2.npy,barbell biceps curl,541a0682-1374-4491-8c92-d597357973f2.npy,train
pose_data/train/barbell biceps curl/ac696ae8-e815-4f5f-bd32-864e2477e3ce.npy,barbell biceps curl,ac696ae8-e815-4f5f-bd32-864e2477e3ce.npy,train
pose_data/train/barbell biceps curl/f57677a3-53da-45c5-b822-4889815d73bc.npy,barbell biceps curl,f57677a3-53da-45c5-b822-4889815d73bc.npy,train
pose_data/train/barbell biceps curl/5ed3a7b8-45ed-442b-b2a4-b647470adcde.npy,barbell biceps curl,5ed3a7b8-45ed-442b-b2a4-b647470adcde.npy,train
pose_data/train/barbell biceps curl/2fcf73e9-b153-4e78-979b-ed5f0f3b52b5.npy,barbell biceps curl,2fcf73e9-b153-4e78-979b-ed5f0f3b52b5.npy,train
pose_data/train/barbell biceps curl/7c5dba18-d1f6-44af-a232-45a0baa45853.npy,barbell biceps curl,7c5dba18-d1f6-44af-a232-45a0baa45853.npy,train
pose_data/train/barbell biceps curl/f5704177-906d-455b-9ab7-70a2b35c2e0b.npy,barbell biceps curl,f5704177-906d-455b-9ab7-70a2b35c2e0b.npy,train
pose_data/train/barbell biceps curl/aec3a648-814a-4bcd-a5b3-7e33ad505f8c.npy,barbell biceps curl,aec3a648-814a-4bcd-a5b3-7e33ad505f8c.npy,train
pose_data/train/barbell biceps curl/d0d7ea77-7059-43da-8978-54f62609ddea.npy,barbell biceps curl,d0d7ea77-7059-43da-8978-54f62609ddea.npy,train
pose_data/train/barbell biceps curl/7fb88f7d-efac-46d0-847b-bc5dec179961.npy,barbell biceps curl,7fb88f7d-efac-46d0-847b-bc5dec179961.npy,train
pose_data/train/barbell biceps curl/1f44e3f6-eebe-49a4-a3b6-9a3f0844d2b7.npy,barbell biceps curl,1f44e3f6-eebe-49a4-a3b6-9a3f0844d2b7.npy,train
pose_data/train/barbell biceps curl/fd0f42cc-0a30-4dba-828a-ab1bd12fddef.npy,barbell biceps curl,fd0f42cc-0a30-4dba-828a-ab1bd12fddef.npy,train
pose_data/train/barbell biceps curl/dfd1f8e5-9623-4673-a03f-61abbca0994b.npy,barbell biceps curl,dfd1f8e5-9623-4673-a03f-61abbca0994b.npy,train
pose_data/train/barbell biceps curl/f20150e2-f6e1-41e9-ab13-9d1e42599bba.npy,barbell biceps curl,f20150e2-f6e1-41e9-ab13-9d1e42599bba.npy,train
pose_data/train/barbell biceps curl/cd186cf0-4a73-404e-91ac-d5873cd434b0.npy,barbell biceps curl,cd186cf0-4a73-404e-91ac-d5873cd434b0.npy,train
pose_data/train/barbell biceps curl/c28a0f3b-c714-4834-848f-4744095db089.npy,barbell biceps curl,c28a0f3b-c714-4834-848f-4744095db089.npy,train
pose_data/train/barbell biceps curl/9468a3d1-fbb1-49eb-88b9-0f64dcde0ae3.npy,barbell biceps curl,9468a3d1-fbb1-49eb-88b9-0f64dcde0ae3.npy,train
pose_data/train/barbell biceps curl/48cca096-6736-4545-a6b0-59b9f44ef3f0.npy,barbell biceps curl,48cca096-6736-4545-a6b0-59b9f44ef3f0.npy,train
pose_data/train/barbell biceps curl/c26def6a-8820-4d95-a871-a2befec2d988.npy,barbell biceps curl,c26def6a-8820-4d95-a871-a2befec2d988.npy,train
pose_data/train/barbell biceps curl/37f7ce09-0215-42f3-ae88-70f749a432f9.npy,barbell biceps curl,37f7ce09-0215-42f3-ae88-70f749a432f9.npy,train
pose_data/train/barbell biceps curl/1692398d-235d-42c2-89d8-95e930358ce1.npy,barbell biceps curl,1692398d-235d-42c2-89d8-95e930358ce1.npy,train
pose_data/train/barbell biceps curl/0b43a151-8995-4f7e-8568-45d65996a19c.npy,barbell biceps curl,0b43a151-8995-4f7e-8568-45d65996a19c.npy,train
pose_data/train/barbell biceps curl/19b1bc19-aa52-4a0d-a448-68b9ba6f22b7.npy,barbell biceps curl,19b1bc19-aa52-4a0d-a448-68b9ba6f22b7.npy,train
pose_data/train/barbell biceps curl/11e3afa6-b27d-44f3-a28d-0fbc156a6c1a.npy,barbell biceps curl,11e3afa6-b27d-44f3-a28d-0fbc156a6c1a.npy,train
pose_data/train/barbell biceps curl/feb00740-45a3-4cb6-ba69-38c84c3fe017.npy,barbell biceps curl,feb00740-45a3-4cb6-ba69-38c84c3fe017.npy,train
pose_data/train/barbell biceps curl/2fdabb2b-13ff-4470-84b0-fa0611be50cf.npy,barbell biceps curl,2fdabb2b-13ff-4470-84b0-fa0611be50cf.npy,train
pose_data/train/barbell biceps curl/b412216e-822f-4418-b53d-3d5d1363ffd9.npy,barbell biceps curl,b412216e-822f-4418-b53d-3d5d1363ffd9.npy,train
pose_data/train/barbell biceps curl/2f7882be-3d4e-4161-b7e0-7234113bbec3.npy,barbell biceps curl,2f7882be-3d4e-4161-b7e0-7234113bbec3.npy,train
pose_data/train/barbell biceps curl/90dfc1b5-8c27-4203-acae-14e0f5f59a89.npy,barbell biceps curl,90dfc1b5-8c27-4203-acae-14e0f5f59a89.npy,train
pose_data/train/barbell biceps curl/3f034ee8-792b-4646-8746-c0dbbf6e5b50.npy,barbell biceps curl,3f034ee8-792b-4646-8746-c0dbbf6e5b50.npy,train
pose_data/train/barbell biceps curl/95cf713d-cbb0-41df-95e1-25f3d97845e1.npy,barbell biceps curl,95cf713d-cbb0-41df-95e1-25f3d97845e1.npy,train
pose_data/train/barbell biceps curl/e2194f47-d711-4867-a6c5-b86776cd4584.npy,barbell biceps curl,e2194f47-d711-4867-a6c5-b86776cd4584.npy,train
pose_data/train/barbell biceps curl/f9d9d0bb-7286-4074-8d3c-e73d4072ad79.npy,barbell biceps curl,f9d9d0bb-7286-4074-8d3c-e73d4072ad79.npy,train
pose_data/train/barbell biceps curl/91d88e87-6a44-4c72-ad44-55678ffa1af9.npy,barbell biceps curl,91d88e87-6a44-4c72-ad44-55678ffa1af9.npy,train
pose_data/train/barbell biceps curl/2b2a5dfc-15c7-45ce-95cb-fc603c5f3a40.npy,barbell biceps curl,2b2a5dfc-15c7-45ce-95cb-fc603c5f3a40.npy,train
pose_data/train/barbell biceps curl/62420aea-dce4-46b0-93a7-a87b611fa751.npy,barbell biceps curl,62420aea-dce4-46b0-93a7-a87b611fa751.npy,train
pose_data/train/barbell biceps curl/7e3c732f-cc78-4e91-b07e-1ff07b28b3fe.npy,barbell biceps curl,7e3c732f-cc78-4e91-b07e-1ff07b28b3fe.npy,train
pose_data/train/barbell biceps curl/32edb2b8-4eab-4bb5-848b-3fbf2b8d8fac.npy,barbell biceps curl,32edb2b8-4eab-4bb5-848b-3fbf2b8d8fac.npy,train
pose_data/train/barbell biceps curl/1ec78fea-3232-4839-bd88-7d5f095583a8.npy,barbell biceps curl,1ec78fea-3232-4839-bd88-7d5f095583a8.npy,train
pose_data/train/barbell biceps curl/a9421377-8ba5-45bc-a933-c45ebef93359.npy,barbell biceps curl,a9421377-8ba5-45bc-a933-c45ebef93359.npy,train
pose_data/train/barbell biceps curl/0244565c-a9cc-4775-9011-1f62d67dbd4c.npy,barbell biceps curl,0244565c-a9cc-4775-9011-1f62d67dbd4c.npy,train
pose_data/train/barbell biceps curl/89b99b36-5491-4bc6-952c-53a67b889b62.npy,barbell biceps curl,89b99b36-5491-4bc6-952c-53a67b889b62.npy,train
pose_data/train/barbell biceps curl/0d402adf-578c-4c26-ba50-3b28a6f0e648.npy,barbell biceps curl,0d402adf-578c-4c26-ba50-3b28a6f0e648.npy,train
pose_data/train/barbell biceps curl/fb61ece9-f336-4820-b7e7-b54b245408a0.npy,barbell biceps curl,fb61ece9-f336-4820-b7e7-b54b245408a0.npy,train
pose_data/train/barbell biceps curl/6fcb656d-67ac-4945-916f-0107f1a1b9e9.npy,barbell biceps curl,6fcb656d-67ac-4945-916f-0107f1a1b9e9.npy,train
pose_data/train/barbell biceps curl/ddd0e0e3-87c2-4673-a19c-04dd36650bc0.npy,barbell biceps curl,ddd0e0e3-87c2-4673-a19c-04dd36650bc0.npy,train
pose_data/train/barbell biceps curl/f7928326-388e-4ab5-824c-8040ba0f5ab1.npy,barbell biceps curl,f7928326-388e-4ab5-824c-8040ba0f5ab1.npy,train
pose_data/train/barbell biceps curl/ccd1488a-217e-4d80-b5db-3a92e4c2b1ab.npy,barbell biceps curl,ccd1488a-217e-4d80-b5db-3a92e4c2b1ab.npy,train
pose_data/train/barbell biceps curl/5057d333-1bbb-4a57-84cb-e09e481cb690.npy,barbell biceps curl,5057d333-1bbb-4a57-84cb-e09e481cb690.npy,train
pose_data/train/barbell biceps curl/5d74a7d8-d295-4123-9c8e-7bef99cb6f9a.npy,barbell biceps curl,5d74a7d8-d295-4123-9c8e-7bef99cb6f9a.npy,train
pose_data/train/barbell biceps curl/053483c5-05f0-4196-935d-9215435ea6a7.npy,barbell biceps curl,053483c5-05f0-4196-935d-9215435ea6a7.npy,train
pose_data/train/barbell biceps curl/4d69dc08-6123-4a2c-98df-3dddf71e6d79.npy,barbell biceps curl,4d69dc08-6123-4a2c-98df-3dddf71e6d79.npy,train
pose_data/train/barbell biceps curl/7f9044f9-a214-4fb9-a93f-bdaa44323e17.npy,barbell biceps curl,7f9044f9-a214-4fb9-a93f-bdaa44323e17.npy,train
pose_data/train/barbell biceps curl/acbd3cbe-e42f-422f-9c05-9e01694b9486.npy,barbell biceps curl,acbd3cbe-e42f-422f-9c05-9e01694b9486.npy,train
pose_data/train/barbell biceps curl/2f287849-37d1-4f5d-9093-65f639c4871e.npy,barbell biceps curl,2f287849-37d1-4f5d-9093-65f639c4871e.npy,train
pose_data/train/barbell biceps curl/2c53bfa1-3bec-4805-865d-229eb28afdd7.npy,barbell biceps curl,2c53bfa1-3bec-4805-865d-229eb28afdd7.npy,train
pose_data/train/barbell biceps curl/01502df8-593c-42d0-86ae-7cbd48d8741a.npy,barbell biceps curl,01502df8-593c-42d0-86ae-7cbd48d8741a.npy,train
pose_data/train/barbell biceps curl/9f2e8dd2-5bc9-47a8-b206-498cb7418c51.npy,barbell biceps curl,9f2e8dd2-5bc9-47a8-b206-498cb7418c51.npy,train
pose_data/train/barbell biceps curl/83d275bc-35a7-445a-837f-75b8bc0c9c1f.npy,barbell biceps curl,83d275bc-35a7-445a-837f-75b8bc0c9c1f.npy,train
pose_data/train/barbell biceps curl/084943a8-b17c-4590-8adc-f09f8cedf097.npy,barbell biceps curl,084943a8-b17c-4590-8adc-f09f8cedf097.npy,train
pose_data/train/barbell biceps curl/fb41f86f-4a12-41b6-9604-635b0673c845.npy,barbell biceps curl,fb41f86f-4a12-41b6-9604-635b0673c845.npy,train
pose_data/train/barbell biceps curl/82ed7eba-15bb-4bf1-88eb-befe3deeebce.npy,barbell biceps curl,82ed7eba-15bb-4bf1-88eb-befe3deeebce.npy,train
pose_data/train/barbell biceps curl/8fd54332-bee9-4398-8f66-ab4b854a3a22.npy,barbell biceps curl,8fd54332-bee9-4398-8f66-ab4b854a3a22.npy,train
pose_data/train/barbell biceps curl/b93930f1-c8a6-48e9-8c38-23120053eb9e.npy,barbell biceps curl,b93930f1-c8a6-48e9-8c38-23120053eb9e.npy,train
pose_data/train/barbell biceps curl/efa22820-5815-44f2-930e-cbbfac44616d.npy,barbell biceps curl,efa22820-5815-44f2-930e-cbbfac44616d.npy,train
pose_data/train/barbell biceps curl/b5b9c168-dd5f-4669-a0a3-2941abe18e52.npy,barbell biceps curl,b5b9c168-dd5f-4669-a0a3-2941abe18e52.npy,train
pose_data/train/chest fly machine/e7a98269-4529-4013-b95a-92f6ee8ba130.npy,chest fly machine,e7a98269-4529-4013-b95a-92f6ee8ba130.npy,train
pose_data/train/chest fly machine/188a7bbc-0b1a-45f9-89e4-f270220d550d.npy,chest fly machine,188a7bbc-0b1a-45f9-89e4-f270220d550d.npy,train
pose_data/train/chest fly machine/fe001e3b-28a5-4df7-b404-80d377d5e07a.npy,chest fly machine,fe001e3b-28a5-4df7-b404-80d377d5e07a.npy,train
pose_data/train/chest fly machine/51b1f353-fc8a-41ae-bc90-da241ee59d00.npy,chest fly machine,51b1f353-fc8a-41ae-bc90-da241ee59d00.npy,train
pose_data/train/chest fly machine/a4ce85be-46a2-42bc-b968-37608f0aef2d.npy,chest fly machine,a4ce85be-46a2-42bc-b968-37608f0aef2d.npy,train
pose_data/train/chest fly machine/7f368688-cf3d-4dd8-acab-10dc9ea88a59.npy,chest fly machine,7f368688-cf3d-4dd8-acab-10dc9ea88a59.npy,train
pose_data/train/chest fly machine/046e072a-a8ab-4afb-a42d-ef32c5e256e2.npy,chest fly machine,046e072a-a8ab-4afb-a42d-ef32c5e256e2.npy,train
pose_data/train/chest fly machine/1e4d690e-6d1a-4636-82d6-4a0005a2a0f0.npy,chest fly machine,1e4d690e-6d1a-4636-82d6-4a0005a2a0f0.npy,train
pose_data/train/chest fly machine/43f682ad-37ce-4f67-b13a-080f8122f858.npy,chest fly machine,43f682ad-37ce-4f67-b13a-080f8122f858.npy,train
pose_data/train/chest fly machine/509647f4-d30b-46ae-bc53-aea51c5d9d23.npy,chest fly machine,509647f4-d30b-46ae-bc53-aea51c5d9d23.npy,train
pose_data/train/chest fly machine/caa2b8e0-7e61-4bb6-b854-92e0ef97644c.npy,chest fly machine,caa2b8e0-7e61-4bb6-b854-92e0ef97644c.npy,train
pose_data/train/chest fly machine/b5b27764-cd04-4df5-9105-ee6d9b3e9136.npy,chest fly machine,b5b27764-cd04-4df5-9105-ee6d9b3e9136.npy,train
pose_data/train/chest fly machine/a7fde39d-dcc7-4cd8-be9f-37dc601f5ec3.npy,chest fly machine,a7fde39d-dcc7-4cd8-be9f-37dc601f5ec3.npy,train
pose_data/train/chest fly machine/6aa67a5f-fc86-451f-8956-ad55035fd011.npy,chest fly machine,6aa67a5f-fc86-451f-8956-ad55035fd011.npy,train
pose_data/train/chest fly machine/abac0034-48e4-4986-8923-1babee78eceb.npy,chest fly machine,abac0034-48e4-4986-8923-1babee78eceb.npy,train
pose_data/train/chest fly machine/5e489393-1024-47ee-9b3e-d593061d05e8.npy,chest fly machine,5e489393-1024-47ee-9b3e-d593061d05e8.npy,train
pose_data/train/chest fly machine/e08ce119-0cc5-4d03-ae9c-28b37fddb914.npy,chest fly machine,e08ce119-0cc5-4d03-ae9c-28b37fddb914.npy,train
pose_data/train/chest fly machine/3f1d2fb1-12b9-4ab8-90a3-6d1670cf4813.npy,chest fly machine,3f1d2fb1-12b9-4ab8-90a3-6d1670cf4813.npy,train
pose_data/train/chest fly machine/bf408b66-7047-4c66-bb81-de2930c59bd9.npy,chest fly machine,bf408b66-7047-4c66-bb81-de2930c59bd9.npy,train
pose_data/train/chest fly machine/ce3bfa03-b04f-4e07-803d-65bad5020dab.npy,chest fly machine,ce3bfa03-b04f-4e07-803d-65bad5020dab.npy,train
pose_data/train/chest fly machine/6e7b22d8-812b-4e30-bac8-e12e7df271ab.npy,chest fly machine,6e7b22d8-812b-4e30-bac8-e12e7df271ab.npy,train
pose_data/train/chest fly machine/0b9f0f0e-3a4e-4f47-bed9-8f564ee39679.npy,chest fly machine,0b9f0f0e-3a4e-4f47-bed9-8f564ee39679.npy,train
pose_data/train/chest fly machine/3c32bf35-1bf7-4fae-b8d5-08bec65c2a7b.npy,chest fly machine,3c32bf35-1bf7-4fae-b8d5-08bec65c2a7b.npy,train
